x90243419,Merete_Morken_Andersen,1965-,1965
x90835073,Jan_Arnald,1963-,1963
x02114167,Jan_Arnald,1963-,1963
x08029353,Jessica_Bird,1969-,1969
x08029478,Jessica_Bird,1969-,1969
x90938159,Agnes-Margrethe_Bjorvand,1969-,1969
x90291281,Tor_Bjørklund,1947-,1947
x90184485,Milada_Blekastad,1917-2003,1917
x90079388,Jim_Bogen,1947-,1947
x90144120,Thorvald_Bogsrud,1870-1923,1870
x90778634,Thorvald_Bogsrud,1870-1923,1870
x04099356,Laila_Bokhari,1974-,1974
x90500612,Paul_Botten-Hansen,1824-1869,1824
x90067904,Else_Breen,1927-,1927
x90769257,Jan-Paul_Brekke,1966-,1966
x90573119,Keith_Brown,1931-,1931
x90085072,Francis_Bull,1887-1974,1887
x90107778,Jostein_Børtnes,1937-,1937
x90114792,Arne_Lie_Christensen,1943-,1943
x90101550,Hjalmar_Christensen,1869-1925,1869
x90056835,Willy_Dahl,1927-,1927
x04063003,Olav_Dalgard,1898-1980,1898
x90084934,Bengt_Danielsson,1921-1997,1921
x90766930,Irmelin_Drake,1963-,1963
x90248955,Guri_Dyrendahl,1929-,1929
x90767205,Runar_Døving,1963-,1963
x90227241,Øivind_Eckhoff,1916-2001,1916
x90053237,Odd_Eidem,1913-1988,1913
x90079542,Carl_Fredrik_Engelstad,1915-1996,1915
x90134084,Thomas_Hylland_Eriksen,1962-,1962
x07058725,Eva_Eriksson,1949-,1949
x10052480,Eva_Eriksson,1949-,1949
x90228368,Erling_Aadland,1952-,1952
x90815143,Ivo_de_Figueiredo,1966-,1966
x90052017,Benjamin_Franklin,1706-1790,1706
x90153404,Øvre_Richter_Frich,1872-1945,1872
x04094870,Øvre_Richter_Frich,1872-1945,1872
x90063276,Johan_Galtung,1930-,1930
x90082673,John_Giæver,1901-1970,1901
x90860423,Truls_Gjefsen,1956-,1956
x90213198,Gunnar_Gjengset,1946-,1946
x90051083,Johann_Wolfgang_von_Goethe,1749-1832,1749
x90133237,Gerhard_Gran,1856-1925,1856
x90896490,Christopher_Hals_Gylseth,1965-,1965
x90555650,Henning_Hagerup,1959-,1959
x90344686,Paul_Tage_Halberg,1944-,1944
x90055016,Kjell_Hallbing,1934-2004,1934
x90313220,Kjell_Hallbing,1934-2004,1934
x90346243,Jens_Braage_Halvorsen,1845-1900,1845
x90065025,Thore_Hansen,1942-,1942
x10053699,Thore_Hansen,1942-,1942
x90788159,Morten_Harper,1973-,1973
x90059450,Finn_Havrevold,1905-1988,1905
x90058821,Thor_Heyerdahl,1914-2002,1914
x90066889,Eleanor_Hibbert,1906-1993,1906
x90756498,Eleanor_Hibbert,1906-1993,1906
x90091618,Per_Hohle,1918-1999,1918
x11059304,Per_Hohle,1918-1999,1918
x90120847,Øystein_Gullvåg_Holter,1952-,1952
x90136529,Jon_Haarberg,1953-,1953
x90083985,Finn_Hødnebø,1919-2007,1919
x90609182,Arne_Høygaard,1906-2002,1906
x90057715,Knut_Imerslund,1944-2011,1944
x90113953,Kjell_Olaf_Jensen,1946-,1946
x90055949,Jahn_Otto_Johansen,1934-,1934
x97036916,Øystein_Kock_Johansen,1944-,1944
x90080646,Bjørg_Jønsson,1940-,1940
x02025065,Pål_Johan_Karlsen,1975-,1975
x01014129,Charles_Kent,1880-1938,1880
x90730885,Ingun_Grimstad_Klepp,1962-,1962
x90058300,Halvdan_Koht,1873-1965,1873
x99019736,John_Korsell,1893-1972,1893
x03121362,John_Korsell,1893-1972,1893
x90055843,Borghild_Krane,1906-1997,1906
x90175383,Anders_Krogvig,1880-1924,1880
x90181650,Mona_Levin,1939-,1939
x14003487,Mona_Levin,1939-,1939
x90916160,Brynjar_Lia,1966-,1966
x90086832,Erik_Lie_(forfatter),1868-1943,1868
x00045057,Markus_Lindholm,1956-,1956
x90935837,Yngve_Lindvig,1968-,1968
x90506601,Arild_Linneberg,1952-,1952
x90325840,Carl_Lumholtz,1851-1922,1851
x90294613,Eifred_Markussen,1955-,1955
x90057579,Ed_McBain,1926-2005,1926
x90087384,Ed_McBain,1926-2005,1926
x90192739,Siri_Meyer,1952-,1952
x90082065,Aslaug_Groven_Michaelsen,1926-,1926
x90169145,Karin_Moe,1945-,1945
x90538057,Morten_Myklebust,1961-,1961
x10056942,Morten_Myklebust,1961-,1961
x90057910,Martin_Nag,1927-,1927
x90202131,Mette_Elisabeth_Nergård,1951-,1951
x04000065,Harriet_Bjerrum_Nielsen,1948-,1948
x90543661,Oddvar_Nilsen,1931-2007,1931
x10057237,Oddvar_Nilsen,1931-2007,1931
x90160360,Olav_Njølstad,1957-,1957
x90174225,Nils_Nordberg,1942-,1942
x98045790,Marta_Norheim,1955-,1955
x90135431,Aagot_Noss,1924-,1924
x90078434,Mari_Osmundsen,1951-,1951
x10053582,Mari_Osmundsen,1951-,1951
x05069879,Morten_Nordhagen_Ottosen,1981-,1981
x90351579,Rune_Ottosen,1950-,1950
x90174011,Ola_Raknes,1887-1975,1887
x90110375,Egil_Rasmussen,1903-1964,1903
x90235744,Terje_Rasmussen,1957-,1957
x90736725,Christian_Refsum,1962-,1962
x98015527,Jan_Inge_Reilstad,1963-,1963
x90119306,Jan_Erik_Rekdal,1951-,1951
x90073914,Herman_Ruge,1883-1976,1883
x90059511,Mentz_Schulerud,1915-2003,1915
x90549747,Ture_Schwebs,1950-,1950
x90076491,Per_Seyersted,1921-2005,1921
x90054790,Sigmund_Skard,1903-1995,1903
x90935000,Audhild_Skoglund,1970-,1970
x90054203,Arne_Skouen,1913-2003,1913
x90808068,Arne_Skouen,1913-2003,1913
x90107110,Finn_Skårderud,1956-,1956
x90059877,Odd_Solumsmoen,1917-1986,1917
x90060425,Christian_Sparre,1859-1940,1859
